region,internal,internal,internal
field,phi,Exact[phi],Diff[phi]
component,L2,L2,L2
t, , , 
0.0,5.235290527150873,nan,nan
1.59,5.12984028744528,5.210947178536607,0.13705775334919543
1.61,5.0335032461016,5.124059056224392,0.15088191547079524
1.63,4.942367760398334,5.032603681996634,0.1483114961895518
1.65,4.862236403711531,4.960048376792395,0.1655255615813156
1.67,4.79596058738794,4.922837782065254,0.23734726863090672
1.69,4.742343776563507,4.923315222646739,0.3475522837922455
1.71,4.6971939395387805,4.948808014984761,0.46500569081725623
1.73,4.655197194605517,4.977596545762574,0.5651996209904113
1.75,4.611728347187835,4.988141983375914,0.6311856057580606
1.77,4.564004808435927,4.966850776495165,0.654660903669567
1.79,4.511401881533549,4.911712130724767,0.6374384749613545
1.81,4.455074183510192,4.831530820927796,0.5925116080773845
1.83,4.397186604208155,4.741797794229137,0.5440101533668662
1.85,4.34007561683972,4.658844930767008,0.5220207521744442
1.87,4.285591593242254,4.594308864650412,0.5455686690169348
1.89,4.234758177540722,4.551902238226395,0.6069824474690173
1.91,4.187760995364919,4.527568719662437,0.6823262063278909
1.93,4.1441786376988095,4.512477300923284,0.7499844112777811
1.95,4.103319168054371,4.497096227242737,0.7970516896419393
1.97,4.06453075412462,4.474581593514772,0.8187095318797225
1.99,4.02739965805099,4.442555188911722,0.8166325676265987
2.01,3.9918069700067806,4.4031867079081435,0.7977505536891891
2.03,3.9578650308455017,4.361944056453439,0.7730381749229431
2.05,3.925783874270084,4.325538101677299,0.7554445576198205
2.07,3.895725481831951,4.299666387449354,0.7561172189967129
2.09,3.8676935230914253,4.2871987474543465,0.7798119494770063
2.11,3.841485695156859,4.287342530468595,0.8228697625164727
2.13,3.8167125914744764,4.295998099071193,0.8757196500266949
2.15,3.7928679798225295,4.307074491018437,0.9274056574143852
2.17,3.7694246550520107,4.314221899231342,0.9689535662688279
2.19,3.7459285338064254,4.312402405151582,0.994877875565461
2.21,3.722069394801853,4.2989080161101,1.0034780392380807
2.23,3.6977162006669246,4.273687748165936,0.9964959654100313
2.25,3.6729148999408037,4.23904835193316,0.978385100304115
2.27,3.6478546627735002,4.198913326229457,0.9552860810320087
2.29,3.6228135528103373,4.157872375638887,0.9337878500710856
2.31,3.5980965499698603,4.120244778588154,0.91962159370624
2.33,3.573978055385142,4.0893293824211705,0.9165480028862968
2.35,3.5506582444538433,4.06693954294444,0.9257507584793543
2.37,3.528238711045978,4.053247547451382,0.9459032499613068
2.39,3.5067186107068458,4.0469102330297195,0.9737776782412627
2.41,3.486008740794138,4.045420272552137,1.0050794852735416
2.43,3.46595829170352,4.04561508889056,1.0352541727829996
2.45,3.446387690775206,4.0442645455851345,1.0601784611035419
2.47,3.427121047684563,4.038646909540367,1.07673571906837
2.49,3.4080129297432,4.02701806915139,1.0832701087441774
2.51,3.3889661095605983,4.008890530375059,1.0798799234637917
2.53,3.369939053950161,3.98506837728939,1.0684867446187178
2.55,3.350943842023997,3.957427441407885,1.052604887372037
2.57,3.3320366186452444,3.9284792668160415,1.0367395188513224
2.59,3.3133034619193333,3.900805985762272,1.0254020663703776
2.61,3.2948446659579727,3.8764917821149867,1.0219041196953156
2.63,3.2767600227939666,3.8566914486366066,1.0273361629153306
2.65,3.2591369169628845,3.8414529805857023,1.0402270328392047
2.67,3.2420421422409715,3.8298452426025693,1.057101833122217
2.69,3.225517517782721,3.8203503548752806,1.0736816528911326
2.71,3.2095787715879336,3.8113970415737173,1.086215110219145
2.73,3.1942168443464367,3.8018675847968924,1.0925238671049289
2.75,3.179400734138135,3.7914209207510705,1.0925538204865821
2.77,3.1650811740617186,3.780531767642326,1.0883514444061086
2.79,3.1511946989818385,3.770233579849107,1.0834367220922347
2.81,3.1376679055964973,3.7616498868606465,1.081638948098951
2.83,3.1244218657838645,3.7554768182372555,1.0856858306283592
2.85,3.111376687981757,3.751607707958197,1.096096584605206
2.87,3.0984561524868957,3.7490467520617847,1.1109334904590815
2.89,3.0855922228765853,3.7461513795230537,1.1265510508402505
2.91,3.0727291167587603,3.7411165899541263,1.138947053330897
2.93,3.0598265549702153,3.732525668770786,1.1451097709439646
2.95,3.0468618267112797,3.719775137045178,1.1439154600197492
2.97,3.0338304094919777,3.7032353151672344,1.1363884164492377
2.99,3.0207450448677604,3.68410376755132,1.1253117185836732
3.01,3.0076333581453416,3.664012952596992,1.1142942683680064
3.03,2.9945342847558543,3.644534492939841,1.106546855916105
3.05,2.9814936972531707,3.6267546342213524,1.1037926962267615
3.07,2.968559697123574,3.6110638342209596,1.1057805896308326
3.09,2.955778041080728,3.5972160217604916,1.1106241176783886
3.11,2.9431881203523855,3.5846052172319887,1.115763492912581
3.13,2.9308198191804036,3.5726266110196883,1.1190643133388547
3.15,2.9186914635575616,3.560969120256467,1.1195996711501557
3.17,2.906808950054022,3.5497290907752186,1.1178813504825862
3.19,2.895166030757376,3.539315893944243,1.1155276449926994
3.21,2.8837456328309785,3.530205039914255,1.1145230065840634
3.23,2.8725220151141007,3.5226517500682557,1.116354085278486
3.25,2.861463511916091,3.516487816817874,1.1213693248983145
3.27,2.850535586355753,3.5110847695854117,1.128628637172745
3.29,2.839703911845758,3.5054950754055034,1.1362795240014547
3.31,2.828937219249855,3.4987123714047548,1.1422509412185669
3.33,2.818209686335334,3.489951305660948,1.14495390686745
3.35,2.8075027015102436,3.4788499600185663,1.1437424229372248
3.37,2.7968059001706513,3.4655352593290623,1.1390266065598864
3.39,2.786117442894968,3.4505445917336863,1.132054766733069
3.41,2.775443573371089,3.43464455641732,1.124467119650752
